"HGNC_Symbol","hiPSC_Neuron","BloodmRNA","DISC1_RNA","gandalMicro","gandalRNAseq","hiPSC_NPC1","MtSinaiACC","MtSinaiDLPFC","MtSinaiMTA","MtSinaiTPA","Stanley","CommonMind_DLPFC","Deep_Neurons","Superficial_Neurons","Superficial_Deep_Neurons","Lewis_2017_L3","Lewis_2017_L5","Lewis_2015_L3","Lewis_2015_L5","barnesAll","barnesFemale","barnesMale","Iwamoto_BA10_SCZ","Iwamoto_BA46_SCZ","MaycoxAll","MaycoxFemale","MaycoxMale","PietersenAllParvalbumin","PietersenAllPyramidal","PietersenFemaleParvalbumin","PietersenFemalePyramidal","PietersenMaleParvalbumin","PietersenMalePyramidal"
"CFLAR","-1.34, p=0.00021","-0.62, p=0.0832","0.45, p=0.5332","0.08, p=0.00276","0.07, p=0.00294","-1.09, p=0.00244","-0.36, p=0.1732","-0.16, p=0.43021","-0.15, p=0.59805","-0.15, p=0.31217","0.05, p=7e-05","0.02, p=0.2255","0.08, p=0.42515","0.08, p=0.40772","0.16, p=0.27246","0.2, p=0.05026","0.23, p=0.03256","0.09, p=0.13316","0.01, p=0.89162","0.05, p=0.4889","0.18, p=0.42033","-0.04, p=0.62704","0.19, p=0.51643","0.07, p=0.41563","0.08, p=0.42425","0.03, p=0.49086","0.12, p=0.36403","-0.01, p=0.53967","-0.12, p=0.64236","-0.01, p=0.46152","0.14, p=0.50016","-0.01, p=0.54407","-0.45, p=0.41495"
"CAT","1.56, p=0.00072","-0.58, p=0.062","0.8, p=0.29447","0.1, p=0.00965","-0.04, p=0.29186","1.58, p=0.00058","-0.42, p=0.04295","0.2, p=0.29576","0.26, p=0.16269","0.19, p=0.20688","0, p=0.98509","-0.04, p=0.103","0.03, p=0.75457","0.03, p=0.79452","0.06, p=0.69853","0.2, p=0.30493","0.22, p=0.26873","-0.03, p=0.85997","-0.22, p=0.19619","0.29, p=0.49208","0.56, p=0.28032","0.21, p=0.47937","-0.25, p=0.07108","-0.08, p=0.79221","-0.03, p=0.46793","-0.14, p=0.53458","0.1, p=0.49627","-0.07, p=0.06128","-0.99, p=0.04775","0.62, p=0.21989","-0.45, p=0.21501","-0.76, p=0.127","-1.67, p=0.03832"
"DCTD","-0.28, p=0.00108","0.14, p=0.492","-0.76, p=0.0621","-0.02, p=0.23135","-0.03, p=0.07868","-0.13, p=0.13775","0.04, p=0.74497","0.09, p=0.62821","0.05, p=0.64792","0.15, p=0.064","-0.03, p=0.33981","0.01, p=0.5401","0.06, p=0.52561","0.06, p=0.5417","0.12, p=0.40027","0.16, p=0.62738","0.41, p=0.24571","-0.27, p=0.08296","-0.49, p=0.00189","0, p=0.64901","-0.04, p=0.74927","0.02, p=0.54042","0.07, p=0.57456","-0.04, p=0.08305","0.03, p=0.46382","0.02, p=0.80398","0.03, p=0.41878","1.22, p=0.17556","0, p=0.69298","1.16, p=0.30647","0.13, p=0.58355","1.29, p=0.28667","-0.17, p=0.86623"
"CYB561","-0.47, p=0.00299","0.15, p=0.259","-0.91, p=0.01338","0, p=0.92453","-0.05, p=0.11224","-0.08, p=0.62116","0.24, p=0.08629","0.09, p=0.50977","0, p=0.98155","0.03, p=0.80021","0.01, p=0.59592","0, p=0.9404","0.06, p=0.44275","0.06, p=0.4419","0.11, p=0.29952","-0.42, p=0.11263","-0.1, p=0.7278","-0.39, p=0.01967","-0.25, p=0.13948","-0.03, p=0.83178","-0.13, p=0.4946","0.05, p=0.61997","0.38, p=0.13069","0, p=0.73681","-0.02, p=0.67598","0.01, p=0.60746","-0.05, p=0.64605","-0.05, p=0.77782","-0.1, p=0.55604","-0.16, p=0.66604","-0.04, p=0.62501","0.07, p=0.81386","-0.17, p=0.70475"
"PRKX","0.47, p=0.00357","0.29, p=0.27","-0.41, p=0.07986","0.08, p=0.00092","0.14, p=0.00663","0.18, p=0.24274","-0.17, p=0.56583","-0.18, p=0.51131","-0.1, p=0.669","-0.09, p=0.75538","0.07, p=0.12648","0, p=0.8979",NA,NA,NA,"0.06, p=0.21475","0.16, p=0.14968","0.13, p=0.12291","-0.07, p=0.37263","0.21, p=0.36929","0.07, p=0.81827","0.36, p=0.29725","0.58, p=0.14252","0.21, p=0.03796","0.28, p=0.00708","0.38, p=0.07491","0.43, p=0.01852","0.16, p=0.42926","-0.25, p=0.63242","0.74, p=0.26801","0.95, p=0.27345","-0.43, p=0.33168","-0.33, p=0.50934"
"RGS2","-0.64, p=0.00612","-0.67, p=0.166","0.75, p=0.01558","0.03, p=0.43267","-0.06, p=0.36735","-0.02, p=0.93053","0.31, p=0.0434","0.29, p=0.57987","-0.12, p=0.27268","-0.04, p=0.88872","-0.06, p=0.24888","0.02, p=0.3993","-0.12, p=0.24853","-0.11, p=0.31191","-0.22, p=0.1453","-0.16, p=0.11086","0.01, p=0.91764","-0.05, p=0.5301","-0.03, p=0.69797","0.26, p=0.16929","0.11, p=0.56562","0.36, p=0.22805","0.24, p=0.10167","-0.02, p=0.8406","0.2, p=0.12909","0.15, p=0.25978","0.2, p=0.37058","-0.76, p=0.31979","-0.05, p=0.94718","-0.56, p=0.58553","-0.25, p=0.77758","-0.96, p=0.40896","0.21, p=0.84036"
"CLTB","-0.27, p=0.0114","-0.25, p=0.244","0.35, p=0.09959","-0.05, p=0.00214","-0.07, p=0.09422","-0.21, p=0.05235","0.2, p=0.257","-0.22, p=0.08944","0.16, p=0.30962","0.22, p=0.16294","-0.03, p=0.23202","0, p=0.8779","0.02, p=0.82233","0, p=0.9845","0.02, p=0.87059","-0.2, p=0.22244","-0.04, p=0.81023","-0.08, p=0.46937","-0.15, p=0.16451","-0.22, p=0.33993","-0.39, p=0.33656","-0.09, p=0.6021","0.01, p=0.48721","-0.11, p=0.4043","0.06, p=0.57739","-0.04, p=0.62708","0.05, p=0.34429","-0.38, p=0.30867","0.69, p=0.25273","-0.78, p=0.15863","0.75, p=0.36962","0.03, p=0.9237","0.61, p=0.47881"
"UBE2A","-0.15, p=0.01239","0.16, p=0.583","-1.05, p=0.00113","-0.01, p=0.60508","0, p=0.97817","-0.02, p=0.6943","0.08, p=0.48666","0.37, p=0.36988","-0.01, p=0.9392","0.03, p=0.75477","-0.02, p=0.51237","-0.01, p=0.2281",NA,NA,NA,"-0.1, p=0.61563","-0.06, p=0.78347","-0.28, p=0.05583","-0.23, p=0.11552","-0.04, p=0.55313","-0.18, p=0.16491","0.07, p=0.51017","0, p=0.98658","-0.06, p=0.02237","-0.02, p=0.76844","-0.06, p=0.53916","0.02, p=0.71668","-0.63, p=0.32987","-0.22, p=0.70668","-0.18, p=0.51556","-0.01, p=0.89151","-1.09, p=0.30338","-0.48, p=0.63309"
"TMEM97","0.37, p=0.01274",NA,"-0.1, p=0.82175","0.03, p=0.20754","-0.03, p=0.22605","0.2, p=0.15686","0.35, p=0.00775","0.58, p=0.37803","-0.18, p=0.2211","-0.11, p=0.33429","-0.03, p=0.39676","-0.02, p=0.3631","-0.1, p=0.32536","-0.1, p=0.31391","-0.2, p=0.1797","0, p=0.99086","0.09, p=0.66967","-0.11, p=0.40998","0.03, p=0.8443","-0.11, p=0.29425","-0.14, p=0.39696","-0.08, p=0.5407","-0.09, p=0.52874","-0.14, p=0.13831","0.02, p=0.70177","-0.09, p=0.45959","0.06, p=0.65783","-0.48, p=0.43406","-0.05, p=0.63306","-0.31, p=0.59897","-0.2, p=0.44712","-0.65, p=0.51862","0.14, p=0.84974"
"DNAJB6","-0.15, p=0.01295","0.25, p=0.0729","-0.27, p=0.19412","-0.07, p=0.02374","-0.03, p=0.31693","0.01, p=0.87157","-0.03, p=0.90304","0.18, p=0.44477","0.39, p=0.05521","0.13, p=0.48441","-0.04, p=0.26118","-0.01, p=0.5974","0.11, p=0.42984","0.12, p=0.40334","0.22, p=0.27246","-0.25, p=0.00659","-0.29, p=0.00254","-0.13, p=0.03744","-0.24, p=0.00011","0.07, p=0.53417","-0.23, p=0.2852","0.04, p=0.79882","-0.1, p=0.45004","-0.39, p=0.00246","0.07, p=0.56611","0.15, p=0.41451","0.08, p=0.61166","-0.16, p=0.42204","-0.04, p=0.31572","-0.3, p=0.41076","0.41, p=0.2068","-0.03, p=0.3688","-0.6, p=0.51769"
"P4HTM","-0.21, p=0.01505","0.1, p=0.453","-0.22, p=0.24015","-0.04, p=0.00968","-0.01, p=0.73889","-0.11, p=0.19693","0.15, p=0.2034","-0.18, p=0.07504","0.05, p=0.64707","0.06, p=0.52235","0.01, p=0.83779","-0.01, p=0.2608","-0.03, p=0.71503","-0.04, p=0.63969","-0.07, p=0.57213","-0.16, p=0.30175","-0.37, p=0.0273","-0.23, p=0.047","-0.3, p=0.01094","-0.11, p=0.2111","-0.25, p=0.07121","0, p=0.97224",NA,"0, p=0.99735","-0.1, p=0.08211","-0.14, p=0.18503","-0.1, p=0.20321","-0.28, p=0.6703","0.2, p=0.79717","-0.16, p=0.87348","0.27, p=0.80622","-0.41, p=0.6826","0.1, p=0.92192"
