"HGNC_Symbol","hiPSC_Neuron","BloodmRNA","DISC1_RNA","gandalMicro","gandalRNAseq","hiPSC_NPC1","MtSinaiACC","MtSinaiDLPFC","MtSinaiMTA","MtSinaiTPA","Stanley","CommonMind_DLPFC","Deep_Neurons","Superficial_Neurons","Superficial_Deep_Neurons","Lewis_2017_L3","Lewis_2017_L5","Lewis_2015_L3","Lewis_2015_L5","barnesAll","barnesFemale","barnesMale","Iwamoto_BA10_SCZ","Iwamoto_BA46_SCZ","MaycoxAll","MaycoxFemale","MaycoxMale","PietersenAllParvalbumin","PietersenAllPyramidal","PietersenFemaleParvalbumin","PietersenFemalePyramidal","PietersenMaleParvalbumin","PietersenMalePyramidal"
"TSPAN6","-0.22, p=0.01721","-0.27, p=0.374","-1.57, p=0.00027","0.1, p=0.00043","0.04, p=0.21679","0.06, p=0.49823","-0.05, p=0.77628","-0.12, p=0.51033","0.2, p=0.32411","0.01, p=0.95027","0.02, p=0.36101","0.04, p=0.07926",NA,NA,NA,"-0.48, p=0.14522","0.55, p=0.11328","0.07, p=0.70708","0.13, p=0.49071","0.15, p=0.34343","0.17, p=0.37449","0.15, p=0.49537","0.1, p=0.36879","0.2, p=0.09363","-0.02, p=0.87533","0, p=0.932","0, p=0.90522","0.18, p=0.47501","-0.17, p=0.23793","1.05, p=0.3455","-0.02, p=0.244","-0.7, p=0.52046","-0.36, p=0.64499"
"NENF","-0.25, p=0.01734","0.23, p=0.404","0.12, p=0.60849","-0.04, p=0.07021","-0.02, p=0.41343","-0.09, p=0.41168","-0.17, p=0.39325","0.17, p=0.32782","0.33, p=0.07427","-0.28, p=0.35283","0, p=0.99278","0.01, p=0.4999","0.13, p=0.2765","0.12, p=0.32297","0.26, p=0.16219","-0.05, p=0.72261","-0.2, p=0.1872","-0.33, p=0.00395","-0.55, p=0","0.49, p=0.20127","0.43, p=0.37761","0.22, p=0.22195","0.22, p=0.41877","-0.01, p=0.3767","0.08, p=0.41791","-0.05, p=0.5041","0.07, p=0.53996","-0.04, p=0.64986","-0.24, p=0.65587","0.56, p=0.46432","-0.18, p=0.79146","-0.64, p=0.55125","-0.32, p=0.72175"
"TLR4","-0.67, p=0.01777","-0.38, p=0.121","-2.16, p=0.02082","0.16, p=0.00025","-0.03, p=0.50664","-0.2, p=0.50951","0.14, p=0.57949","0.27, p=0.27837","0.11, p=0.65415","0.22, p=0.39902","0.02, p=0.46468","0.07, p=0.02525","-0.07, p=0.39495","-0.08, p=0.3621","-0.15, p=0.23431","0.19, p=0.11004","0.11, p=0.37341","0.1, p=0.38661","0.11, p=0.33","0.18, p=0.52768","-0.57, p=0.38232","0.59, p=0.30364",NA,"0.11, p=0.43784","0.05, p=0.69382","-0.03, p=0.8187","0.13, p=0.5809","-0.03, p=0.86098","-0.61, p=0.14347","0.92, p=0.37493","-0.48, p=0.273","-0.97, p=0.34719","-0.76, p=0.35091"
"CRELD2","-0.26, p=0.02029","0.08, p=0.782","-0.02, p=0.92241","0.01, p=0.53211","0.07, p=0.00459","-0.11, p=0.32787","-0.01, p=0.94127","0.02, p=0.86773","0.26, p=0.02081","0.05, p=0.8232","0.04, p=0.32437","0.03, p=0.1881","-0.04, p=0.55173","-0.04, p=0.58742","-0.08, p=0.44213","-0.14, p=0.54212","-0.12, p=0.6175","-0.4, p=0.01229","-0.36, p=0.02641","0.05, p=0.51293","0, p=0.97143","0.1, p=0.4194",NA,"-0.05, p=0.59641","0.02, p=0.808","0.02, p=0.91659","-0.01, p=0.92881","-1.02, p=0.14912","0.16, p=0.80051","-0.78, p=0.42971","0.17, p=0.84374","-1.27, p=0.24832","0.14, p=0.89097"
"KIT","-1.15, p=0.02084",NA,"-0.33, p=0.29714","-0.05, p=0.11704","-0.05, p=0.31127","0.37, p=0.45311","0.45, p=0.0542","0.19, p=0.36386","0.06, p=0.72801","0.34, p=0.09653","-0.03, p=0.59594","0.07, p=0.01459","0.05, p=0.64133","0.08, p=0.46849","0.12, p=0.41906","-0.11, p=0.57459","-0.4, p=0.05904","-0.08, p=0.66001","0.13, p=0.4721","0.03, p=0.90313","0.42, p=0.31553","-0.29, p=0.4053","-0.47, p=0.19282","0.07, p=0.50426","0.08, p=0.58989","0.21, p=0.41268","-0.07, p=0.73787","1.05, p=0.27719","-0.42, p=0.61218","1.11, p=0.21997","0.52, p=0.62281","0.98, p=0.54633","-1.6, p=0.15241"
"HPRT1","-0.4, p=0.02115","0.1, p=0.43","0.01, p=0.96479","-0.06, p=0.03008","0, p=0.97777","-0.23, p=0.17789","0.34, p=0.16001","0.01, p=0.91454","0.07, p=0.69931","0.2, p=0.27496","-0.03, p=0.61697","-0.02, p=0.286",NA,NA,NA,"0.03, p=0.69966","-0.06, p=0.47888","-0.21, p=0.00174","-0.15, p=0.02545","0.11, p=0.65681","-0.19, p=0.47592","0.35, p=0.27476","0.01, p=0.94736","0.16, p=0.29314","0.06, p=0.50169","-0.32, p=0.32561","0.15, p=0.66971","-0.29, p=0.69639","-0.59, p=0.49171","-0.42, p=0.52381","-0.05, p=0.71702","-0.16, p=0.39744","-1.28, p=0.2411"
"CTSL","-0.21, p=0.0222","1.49, p=0.0764","-1.28, p=0.00111","-0.01, p=0.66685","-0.01, p=0.68031","0.02, p=0.82132","-0.14, p=0.20292","0.04, p=0.76569","0.02, p=0.86017","0.08, p=0.50364","-0.03, p=0.36854","-0.01, p=0.5051","0.08, p=0.63903","0.06, p=0.73183","0.14, p=0.5838","-0.1, p=0.6189","-0.43, p=0.05178","-0.24, p=0.00034","-0.25, p=0.00018","-0.11, p=0.21055","-0.01, p=0.92125","-0.19, p=0.15369","-0.17, p=0.15691","-0.05, p=0.42877","-0.01, p=0.92969","0.05, p=0.59405","-0.02, p=0.86761","-0.27, p=0.72492","0.6, p=0.4247","0.21, p=0.84969","0.84, p=0.42716","-0.74, p=0.49181","0.3, p=0.7767"
"SKP1","-0.14, p=0.0236","0.1, p=0.468","-0.39, p=0.07722","0.03, p=0.40479","-0.05, p=0.00449","-0.02, p=0.6865","0.14, p=0.09703","-0.03, p=0.73191","0.16, p=0.05219","0.12, p=0.131","-0.07, p=0.03805","-0.04, p=0.00144","0.1, p=0.64803","0.14, p=0.53468","0.24, p=0.46514","-0.23, p=0.00124","-0.2, p=0.00776","-0.17, p=0.00726","-0.2, p=0.00197","-0.05, p=0.60607","-0.14, p=0.30152","0.02, p=0.81498","0.03, p=0.89218","-0.03, p=0.69548","-0.04, p=0.51847","-0.09, p=0.39794","-0.02, p=0.80184","-0.44, p=0.54423","-0.3, p=0.66041","-0.3, p=0.76555","-0.26, p=0.76292","-0.57, p=0.58341","-0.34, p=0.72983"
"RRAGA","-0.16, p=0.0275","0.02, p=0.881","-0.09, p=0.70405","-0.05, p=0.00189","-0.06, p=0.00407","-0.04, p=0.5495","0.12, p=0.36283","-0.21, p=0.06685","0.09, p=0.48029","-0.06, p=0.64469","-0.08, p=0.26551","-0.02, p=0.1001","0.01, p=0.91219","0.01, p=0.9474","0.02, p=0.9054","-0.17, p=0.06493","-0.05, p=0.59998","-0.12, p=0.07564","-0.21, p=0.00278","-0.1, p=0.42331","-0.22, p=0.24012","-0.01, p=0.95955","-0.02, p=0.82766","-0.07, p=0.35164","-0.04, p=0.58051","-0.16, p=0.3022","0.03, p=0.75534","-0.75, p=0.3281","0.23, p=0.7534","-0.14, p=0.90148","0.39, p=0.7111","-1.36, p=0.20979","0.03, p=0.97904"
"SMARCC1","0.16, p=0.02871",NA,"-0.12, p=0.53481","0.02, p=0.20384","0.03, p=0.06984","0.09, p=0.20137","-1.17, p=0.00021","0.44, p=0.04093","0.77, p=0.01046","0.76, p=0.05157","0, p=0.91788","-0.02, p=0.1951","0.01, p=0.94158","-0.01, p=0.95621","0, p=0.99122","-0.01, p=0.97365","0.26, p=0.24849","0.09, p=0.62294","0.57, p=0.00129","0.07, p=0.54408","0.2, p=0.2042","-0.03, p=0.65447","0.08, p=0.60439","-0.08, p=0.37246","0.02, p=0.8193","0.09, p=0.57474","-0.02, p=0.69792","-0.11, p=0.59772","0.04, p=0.5327","0.51, p=0.58592","0.63, p=0.34616","-0.73, p=0.37963","-0.69, p=0.45138"
"UBE2J1","-0.17, p=0.029","-0.37, p=0.159","-0.41, p=0.08403","0, p=0.84005","-0.02, p=0.27195","-0.04, p=0.64163","-0.09, p=0.44151","1.2, p=0.36365","0.03, p=0.8302","-0.26, p=0.01288","0.01, p=0.49646","-0.01, p=0.3275","0, p=0.97887","0.01, p=0.9","0.01, p=0.91706","0.15, p=0.3694","0.19, p=0.27383","-0.3, p=0.03794","-0.78, p=0","0.04, p=0.38943","0.07, p=0.39999","0.02, p=0.6206","0.09, p=0.46112","0.02, p=0.23417","0.06, p=0.13446","0.12, p=0.20801","0.01, p=0.317","-0.13, p=0.32657","-0.31, p=0.34383","0.26, p=0.54623","0.09, p=0.34954","-0.53, p=0.38707","-0.82, p=0.24279"
"GNAS","-0.21, p=0.03042","-0.43, p=0.013","0.11, p=0.64961","-0.02, p=0.07545","-0.05, p=0.02139","0.05, p=0.63883","0.14, p=0.14452","0.01, p=0.88065","0.26, p=0.003","0.18, p=0.03639","-0.02, p=0.23993","0, p=0.7756","0.03, p=0.77232","0.01, p=0.92352","0.05, p=0.79583","-0.04, p=0.35719","0.07, p=0.19259","0.04, p=0.46266","0.04, p=0.41856","-0.05, p=0.56166","0.05, p=0.52659","-0.05, p=0.6958","-0.02, p=0.39292","0.04, p=0.46309","0.07, p=0.42311","0.12, p=0.51748","0.05, p=0.63341","-0.2, p=0.53825","-0.22, p=0.33076","-0.12, p=0.50805","-0.09, p=0.52528","-0.28, p=0.62611","-0.39, p=0.33517"
"NUDT9","-0.13, p=0.03048","-0.33, p=0.154","-0.44, p=0.11391","-0.02, p=0.20691","-0.02, p=0.76846","0.04, p=0.47038","0.2, p=0.18277","0.02, p=0.8349","0.16, p=0.19203","0.18, p=0.12307","-0.08, p=0.06532","-0.02, p=0.1405","-0.03, p=0.72391","-0.04, p=0.68432","-0.07, p=0.60674","-0.05, p=0.82299","-0.26, p=0.23227","-0.27, p=0.04434","-0.17, p=0.21048","-0.08, p=0.39522","-0.13, p=0.38457","-0.05, p=0.71511",NA,"-0.03, p=0.71545","0.08, p=0.2666","0.23, p=0.038","-0.03, p=0.78739","-0.58, p=0.44193","-0.65, p=0.31217","-0.64, p=0.58587","-0.56, p=0.53531","-0.52, p=0.5783","-0.77, p=0.44823"
"GSTM2","-0.26, p=0.03188","0.36, p=0.199","-0.43, p=0.20485","0.12, p=0.00065","-0.09, p=0.00308","-0.15, p=0.23614","0.06, p=0.80575","-0.08, p=0.68409","-0.01, p=0.94582","0.09, p=0.71207","0.09, p=0.10193","-0.04, p=0.1385","-0.09, p=0.29693","-0.09, p=0.30822","-0.18, p=0.16489","0.07, p=0.10292","0.05, p=0.23084","0.11, p=0.41506","0.06, p=0.6571","0.08, p=0.63029","0.22, p=0.43641","-0.02, p=0.93544","-0.14, p=0.33627","0.1, p=0.38798","0.05, p=0.63823","0.36, p=0.0337","-0.1, p=0.44038","0.13, p=0.84948","0.33, p=0.53714","0.95, p=0.29158","0.73, p=0.41509","-0.7, p=0.51563","0.2, p=0.83786"
"CTNND1","0.16, p=0.03262","0.37, p=0.0387","0.56, p=0.00677","-0.01, p=0.5312","-0.04, p=0.28938","-0.03, p=0.71263","0.02, p=0.89223","-0.17, p=0.23842","-0.02, p=0.89365","-0.09, p=0.54133","-0.03, p=0.20462","0, p=0.9243","0, p=0.99294","-0.01, p=0.92653","-0.01, p=0.94469","0.03, p=0.81159","0.01, p=0.94096","0.03, p=0.87854","0.2, p=0.22932","0.06, p=0.15305","0.04, p=0.27239","0.08, p=0.36187","0.33, p=0.12481","0.02, p=0.43356","-0.04, p=0.31343","-0.02, p=0.47157","-0.04, p=0.40416","0.41, p=0.44754","-0.06, p=0.61799","0.79, p=0.30819","0.14, p=0.7023","0.03, p=0.85488","-0.32, p=0.58971"
"REEP5","-0.19, p=0.03569","0.02, p=0.909","0.14, p=0.59641","-0.03, p=0.0397","-0.04, p=0.28212","-0.08, p=0.38158","0.31, p=0.12038","-0.13, p=0.48231","-0.03, p=0.88582","0, p=0.98005","-0.11, p=0.02373","-0.03, p=0.014","0, p=0.97579","-0.01, p=0.92421","-0.01, p=0.96388","0, p=0.92784","-0.03, p=0.5274","-0.06, p=0.38937","-0.1, p=0.15135","-0.1, p=0.51945","-0.2, p=0.3713","-0.03, p=0.88104","-0.14, p=0.37282","-0.1, p=0.21794","-0.05, p=0.66006","-0.14, p=0.53244","-0.05, p=0.61318","-0.4, p=0.53069","-0.17, p=0.6118","-0.23, p=0.81212","-0.3, p=0.67031","-0.56, p=0.52395","-0.01, p=0.7579"
"SLC35A3","-0.14, p=0.03644","0.01, p=0.914","-0.26, p=0.52551","0.01, p=0.64365","0.01, p=0.68199","-0.04, p=0.57912","-0.39, p=0.06054","0.07, p=0.77294","-0.4, p=0.03595","-0.17, p=0.19217","0.05, p=0.11054","-0.01, p=0.6675","0.06, p=0.44227","0.07, p=0.39765","0.14, p=0.27552","-0.03, p=0.88018","0.15, p=0.3851","0.17, p=0.27293","-0.16, p=0.31061","-0.02, p=0.26451","-0.04, p=0.55231","0.01, p=0.35368","-0.12, p=0.36596","0.14, p=0.35693","-0.06, p=0.35431","-0.04, p=0.39949","-0.1, p=0.47786","0.56, p=0.10634","-0.17, p=0.73421","1.16, p=0.16652","-0.37, p=0.32532","-0.04, p=0.37925","0.09, p=0.49171"
"RRP8","0.16, p=0.0386","-0.12, p=0.195","0.36, p=0.1513","0.03, p=0.10957","0.04, p=0.00327","0.04, p=0.62036","0.02, p=0.92428","0.26, p=0.24149","0.04, p=0.79282","-0.15, p=0.28488","0.02, p=0.12311","0.03, p=0.03269","0.09, p=0.28264","0.11, p=0.22375","0.21, p=0.12277","0.08, p=0.66782","-0.03, p=0.89488","0.24, p=0.12604","-0.26, p=0.10079","0.01, p=0.4151","-0.03, p=0.51803","0.03, p=0.66239","-0.1, p=0.80675","0.24, p=0.09803","0.06, p=0.22997","0.05, p=0.61633","0.09, p=0.28484","0.13, p=0.47691","-0.85, p=0.0977","0.38, p=0.36181","-0.62, p=0.37657","-0.13, p=0.69013","-1.14, p=0.10705"
"CTNNAL1","-0.24, p=0.04313","0.19, p=0.199","-0.68, p=0.08021","-0.06, p=0.01291","-0.1, p=0.00041","0.11, p=0.33299","0.05, p=0.70225","0.02, p=0.93469","-0.12, p=0.27831","-0.03, p=0.80366","0.02, p=0.69247","-0.05, p=0.0043","0.05, p=0.37368","0.04, p=0.48764","0.09, p=0.28594","-0.03, p=0.81069","0.14, p=0.20681","-0.14, p=0.18525","0.03, p=0.81126","0.1, p=0.22957","0, p=0.99117","0.2, p=0.09505","0.03, p=0.82194","-0.02, p=0.81472","-0.03, p=0.65662","-0.04, p=0.73921","0, p=0.98922","-0.6, p=0.43289","-0.07, p=0.91525","0.1, p=0.91116","0.32, p=0.74342","-1.31, p=0.30321","-0.57, p=0.5703"
"WDTC1","-0.12, p=0.04326","0.46, p=1e-05","-0.54, p=0.01053","-0.02, p=0.1404","0, p=0.92218","-0.04, p=0.54159","-0.02, p=0.88906","-0.04, p=0.76586","0.06, p=0.63924","-0.03, p=0.80586","0, p=0.96829","-0.03, p=0.01849","-0.04, p=0.65689","-0.03, p=0.74658","-0.07, p=0.60453","-0.04, p=0.83543","-0.16, p=0.47921","0.21, p=0.07728","0.2, p=0.10788","0.22, p=0.62494","0.65, p=0.34999","-0.32, p=0.64549","0.05, p=0.58456","-0.03, p=0.429","-0.06, p=0.24572","-0.03, p=0.36571","0, p=0.52387","0.09, p=0.67271","0.1, p=0.64581","0.49, p=0.57566","0.36, p=0.50844","-0.31, p=0.45412","-0.22, p=0.72564"
"C2CD2","-0.35, p=0.04408","-0.48, p=0.0182","-0.6, p=0.21165","0.08, p=0.00011","0.09, p=4e-04","-0.17, p=0.34035","-0.13, p=0.37243","-0.21, p=0.22879","0.14, p=0.24824","0.04, p=0.71785","0.01, p=0.5796","0, p=0.8962","-0.02, p=0.82937","-0.01, p=0.86506","-0.03, p=0.79453","0.15, p=0.49018","0.35, p=0.12683","0.02, p=0.92243","0.28, p=0.11239","0.12, p=0.19239","0.09, p=0.60384","0.16, p=0.17512","0.34, p=0.01352","0.07, p=0.31951","0.17, p=0.02225","0.17, p=0.17351","0.2, p=0.06264","0.12, p=0.87118","0.39, p=0.52805","0.58, p=0.5661","0.43, p=0.63496","-0.34, p=0.75143","0.35, p=0.7247"
"ABCF3","-0.14, p=0.04481","0.05, p=0.759","0.38, p=0.06434","-0.05, p=0.00021","0, p=0.76918","-0.11, p=0.11965","-0.01, p=0.93956","-0.19, p=0.09587","0.04, p=0.75332","-0.08, p=0.41162","-0.01, p=0.76314","0, p=0.8806","0.08, p=0.28269","0.09, p=0.24282","0.18, p=0.13099","-0.19, p=0.51597","0.16, p=0.60924","-0.02, p=0.83426","-0.29, p=0.0122","-0.22, p=0.07841","-0.52, p=0.0258","0.02, p=0.88301","-0.03, p=0.74452","-0.1, p=0.26982","0.03, p=0.65148","-0.15, p=0.22528","0.11, p=0.27577","-0.34, p=0.65877","0.32, p=0.59025","-0.32, p=0.75545","0.18, p=0.81863","-0.35, p=0.76193","0.48, p=0.62619"
"ATMIN","-0.15, p=0.04704","0.82, p=3e-05","-0.19, p=0.30711","-0.02, p=0.16833","-0.05, p=0.0987","-0.03, p=0.69127","-0.09, p=0.40376","0.01, p=0.94496","0.12, p=0.12975","0.08, p=0.45666","-0.01, p=0.88677","-0.02, p=0.01959","0.06, p=0.55226","0.05, p=0.59874","0.11, p=0.44913","0.15, p=0.20315","-0.07, p=0.55414","0.02, p=0.79287","-0.24, p=0.00587","0.05, p=0.37896","0.01, p=0.66472","0.07, p=0.45185","0.09, p=0.55984","0.08, p=0.16302","-0.04, p=0.40196","-0.04, p=0.30014","-0.04, p=0.67963","0.37, p=0.62904","-0.46, p=0.47332","0.75, p=0.46586","-0.28, p=0.49252","-0.02, p=0.94147","-0.67, p=0.46722"
